xyaku:백 伯佰柏栢百
xyaku:벽 僻劈壁擘檗璧癖碧蘗
xyaku:패 覇
xyau:박 拍
xyog:빙 憑氷
xyoku:복 馥
za:좌 坐座
za:차 嵯
zag:상 像庠橡祥翔詳象
zag:장 匠墻檣牆臟薔藏贓
zai:재 在才材裁財
zai:제 劑濟臍
zai:채 寨
zaku:작 嚼昨
zaku:착 鑿
zaku:초 酢醋
zam:잠 暫
zam:참 塹慘慙懺斬
zan:잔 殘
zan:찬 竄
zau:조 曹槽漕造
ze:서 逝
ze:시 是柴
ze:채 砦
zei:서 筮誓
zei:세 勢
zei:취 脆
zem:담 澹
zem:섬 蟾贍
zem:염 染苒
zem:잠 潛
zem:점 漸
zem:참 讒
zen:단 亶單
zen:선 善嬋旋禪繕羨膳船
zen:연 涎然燃軟
zen:잔 孱棧潺
zen:전 全前錢
zen:준 雋
zen:찬 撰
zen:천 喘擅泉賤踐
zen:환 還
zep:습 褶
zep:첩 捷
zeti:절 截
zetu:설 舌
zetu:열 熱
zeu:소 紹邵韶
zeu:요 擾橈繞蟯
zeu:초 憔樵
zi:기 嗜耆
zi:사 仕似俟嗣士寺巳祀祠詞辭飼
zi:새 璽
zi:시 侍匙市恃時示蒔視諡
zi:아 兒
zi:이 二爾珥而耳貳邇飴
zi:자 字慈滋瓷疵磁自茨
zi:제 薺
zi:지 漬
zi:차 次
ziki:식 埴寔植殖蝕食
ziki:직 稙
ziku:육 肉
zim:담 蕁
zim:심 尋甚
zim:임 任壬妊姙恁稔荏
zim:잠 岑
zin:신 宸愼晨燼神腎臣蜃訊
zin:인 人仁刃忍靭
zin:진 辰盡秦
zip:삽 澁
zip:습 拾習
zip:십 十
zip:즙 楫汁
zip:집 什輯
ziti:질 嫉疾
zitu:실 實
zitu:일 日
ziu:수 獸
ziu:유 柔蹂
zo:저 咀沮
zo:조 祚
zog:증 憎曾
zoku:속 俗屬粟續贖
zoku:적 賊
zoku:족 族簇
zoku:촉 蜀
zon:존 存
zu:사 事
zu:송 誦
zu:수 洙
zu:총 叢
zug:숭 崇
zug:종 淙
zui:서 瑞
zui:수 垂燧睡穗誰遂隋隧隨髓
zui:예 蘂
zui:췌 悴萃
zui:혜 彗
zya:사 乍斜査社蛇謝邪
zyag:상 上償嘗常床牀裳
zyag:성 城成晟盛筬誠
zyag:양 壤攘禳穰羊襄讓
zyag:정 情淨瀞穽靖靜
zyag:청 晴請
zyag:항 嫦
zyaku:사 射
zyaku:석 夕席汐石碩蓆
zyaku:야 惹
zyaku:약 若弱蒻
zyaku:자 藉
zyaku:작 勺芍雀
zyaku:적 寂籍
zyaku:척 瘠
zyaku:표 杓
zyo:서 墅嶼序徐恕抒敍曙絮署舒薯鋤
zyo:여 如汝茹
zyo:저 藷
zyo:조 助
zyog:승 丞乘承繩
zyog:용 冗茸
zyog:인 認
zyog:잉 仍剩
zyog:증 拯烝蒸
zyoku:욕 縟褥
zyu:나 懦
zyu:송 訟
zyu:수 受囚壽岫愁戍授樹殊竪綬茱袖讐酬銖需
zyu:유 乳儒孺濡
zyu:입 入
zyu:주 呪
zyu:추 酋雛
zyu:취 就聚驟
zyug:융 戎絨
zyug:종 從縱
zyug:충 充
zyuku:숙 塾孰淑熟
zyun:돈 惇
zyun:순 巡徇循恂旬楯殉洵淳盾筍純脣荀蓴詢諄醇順
zyun:윤 潤
zyun:준 准準遵
zyun:진 唇
zyutu:술 戌術述
